,acc_mean,acc_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std
0x2x0.1,0.7301587301587301,0.06044264369733257,0.6960268504830573,0.05576040826613798,0.7488038277511961,0.02970026080845646
0x2x0.2,0.7238095238095238,0.06408453726408299,0.6946856531028685,0.06366404144776262,0.75,0.029263468475418032
0x2x0.3,0.7238095238095238,0.06309399020429075,0.6976524265100567,0.06771640097945397,0.7503588516746412,0.02846915081710863
0x2x0.4,0.7238095238095238,0.06208764195430942,0.6975803809269145,0.06681966551754702,0.7516746411483254,0.02745469388123435
0x2x0.5,0.7206349206349205,0.05678902799999611,0.6938014179696659,0.05954350455654136,0.7535885167464116,0.029688214464089247
0x2x0.6,0.7269841269841271,0.056566760892714466,0.7003155951505098,0.05914727037138234,0.7547846889952152,0.03218570346190045
0x2x0.7,0.7269841269841271,0.056566760892714466,0.7003155951505098,0.05914727037138234,0.7562200956937798,0.03384765898376122
0x3x0.1,0.7301587301587301,0.06044264369733257,0.6960268504830573,0.05576040826613798,0.7489234449760765,0.02959287595475283
0x3x0.2,0.7238095238095238,0.06408453726408299,0.6946856531028685,0.06366404144776262,0.75,0.029263468475418032
0x3x0.3,0.7238095238095238,0.06309399020429075,0.6976524265100567,0.06771640097945397,0.7504784688995215,0.028364671897358692
0x3x0.4,0.7238095238095238,0.06208764195430942,0.6975803809269145,0.06681966551754702,0.7516746411483254,0.02745469388123435
0x3x0.5,0.7206349206349205,0.05678902799999611,0.6938014179696659,0.05954350455654136,0.753708133971292,0.029611001811989456
0x3x0.6,0.7269841269841271,0.056566760892714466,0.7003155951505098,0.05914727037138234,0.7546650717703349,0.032092211353102994
0x3x0.7,0.7269841269841271,0.056566760892714466,0.7003155951505098,0.05914727037138234,0.7562200956937798,0.03384765898376122
0x4x0.1,0.7301587301587301,0.06044264369733257,0.6960268504830573,0.05576040826613798,0.7486842105263157,0.029809658832540185
0x4x0.2,0.7238095238095238,0.06408453726408299,0.6946856531028685,0.06366404144776262,0.7498803827751196,0.029154474826251033
0x4x0.3,0.7238095238095238,0.06309399020429075,0.6976524265100567,0.06771640097945397,0.7504784688995215,0.028364671897358692
0x4x0.4,0.7238095238095238,0.06208764195430942,0.6975803809269145,0.06681966551754702,0.7517942583732058,0.027348955419076733
0x4x0.5,0.7206349206349205,0.05678902799999611,0.6938014179696659,0.05954350455654136,0.753708133971292,0.029611001811989456
0x4x0.6,0.7269841269841271,0.056566760892714466,0.7003155951505098,0.05914727037138234,0.7545454545454545,0.03200068178230324
0x4x0.7,0.7269841269841271,0.056566760892714466,0.7003155951505098,0.05914727037138234,0.7562200956937798,0.03384765898376122
0x5x0.1,0.7301587301587301,0.06044264369733257,0.6960268504830573,0.05576040826613798,0.7488038277511961,0.02970026080845646
0x5x0.2,0.7238095238095238,0.06408453726408299,0.6946856531028685,0.06366404144776262,0.7502392344497608,0.029022895657283485
0x5x0.3,0.7238095238095238,0.06309399020429075,0.6976524265100567,0.06771640097945397,0.7502392344497608,0.028575751389154976
0x5x0.4,0.7238095238095238,0.06208764195430942,0.6975803809269145,0.06681966551754702,0.7517942583732058,0.027348955419076733
0x5x0.5,0.7206349206349205,0.05678902799999611,0.6938014179696659,0.05954350455654136,0.7540669856459331,0.02935622138145835
0x5x0.6,0.7269841269841271,0.056566760892714466,0.7003155951505098,0.05914727037138234,0.7547846889952152,0.03218570346190045
0x5x0.7,0.7269841269841271,0.056566760892714466,0.7003155951505098,0.05914727037138234,0.7561004784688994,0.03393947731909292
0x6x0.1,0.7301587301587301,0.06044264369733257,0.6960268504830573,0.05576040826613798,0.7488038277511961,0.02970026080845646
0x6x0.2,0.7238095238095238,0.06408453726408299,0.6946856531028685,0.06366404144776262,0.7502392344497608,0.029022895657283485
0x6x0.3,0.7238095238095238,0.06309399020429075,0.6976524265100567,0.06771640097945397,0.7504784688995215,0.028364671897358692
0x6x0.4,0.7238095238095238,0.06208764195430942,0.6975803809269145,0.06681966551754702,0.7516746411483254,0.02745469388123435
0x6x0.5,0.7206349206349205,0.05678902799999611,0.6938014179696659,0.05954350455654136,0.7540669856459331,0.02935622138145835
